2026-02-25 09:35:02,333 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /search?q=%D0%9D%D0%BE%D0%B2%D0%BE%D0%B5+%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D0%BB%D0%BE%D0%B2%D0%BE%2C+%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C&format=json&limit=1&accept-language=ru
2026-02-25 09:54:37,723 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /search?q=9-%D0%B9+%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B0%D0%BB%2C+%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0&format=json&limit=1&accept-language=ru
2026-02-25 10:05:45,565 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /osm/tools/overpass/api/interpreter
2026-02-25 10:05:46,010 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /1.x/?apikey=e27943f8-c65f-4361-8c7c-780e1bef1f63&geocode=%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%2C+%D0%9A%D0%BE%D1%80%D0%B4%D0%BD%D1%8B%D0%B9&format=json&results=5&ll=73.446292%2C54.960824&spn=0.015%2C0.015
2026-02-25 10:08:42,270 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /sparql?query=%0A++++SELECT+%3Fpop+WHERE+%7B%0A++++++%3Fcity+rdfs%3Alabel+%22%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D0%94%D0%BE%D0%BD%D1%83%22%40ru+.%0A++++++%3Fcity+wdt%3AP1082+%3Fpop+.%0A++++%7D+ORDER+BY+DESC%28%3Fpop%29+LIMIT+1%0A++++&format=json
2026-02-25 10:18:24,662 [INFO] urbanpulse — Пропуск мета-зоны: городской округ Астрахань (admin=6)
2026-02-25 10:49:33,436 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x11066f250>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:56:12,771 [INFO] urbanpulse — Пропуск: Емар (far)
2026-02-25 10:56:12,772 [INFO] urbanpulse — Пропуск: Емар (far)
2026-02-25 10:56:12,773 [INFO] urbanpulse — Пропуск: Советский район (far)
2026-02-25 10:59:25,682 [INFO] urbanpulse — Пропуск: Адлер (far)
2026-02-25 10:59:25,683 [INFO] urbanpulse — Пропуск: Лазаревское (far)
2026-02-25 10:59:25,683 [INFO] urbanpulse — Пропуск: Аше (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Чемитоквадже (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Нижняя Хобза (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Вардане (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Тихоновка (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Солоники (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Глубокая Щель (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Шахе (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Головинка (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Нижняя Беранда (far)
2026-02-25 10:59:25,684 [INFO] urbanpulse — Пропуск: Якорная Щель (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Нижняя Детляжка (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Голубые Дали (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Магри (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Верхнее Макопсе (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Нижнее Макопсе (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Совет-Квадже (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Шхафит (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Вишнёвка (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Голубая Дача (tiny)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Верхнеимеретинская бухта (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Весёлое-Псоу (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Мирный (far)
2026-02-25 10:59:25,685 [INFO] urbanpulse — Пропуск: Блиново (far)
2026-02-25 10:59:25,686 [INFO] urbanpulse — Пропуск: Калиновка (far)
2026-02-25 10:59:25,686 [INFO] urbanpulse — Пропуск: Макопсе (far)
2026-02-25 10:59:25,686 [INFO] urbanpulse — Пропуск: Курортный Городок (far)
2026-02-25 10:59:25,687 [INFO] urbanpulse — Пропуск: Курортный Городок (far)
2026-02-25 10:59:25,687 [INFO] urbanpulse — Пропуск: Мирный (far)
2026-02-25 10:59:25,687 [INFO] urbanpulse — Пропуск: Совет-Квадже (far)
2026-02-25 10:59:25,687 [INFO] urbanpulse — Пропуск: Шхафит (far)
2026-02-25 10:59:25,687 [INFO] urbanpulse — Пропуск: Глубокая Щель (far)
2026-02-25 10:59:25,687 [INFO] urbanpulse — Пропуск: Чемитоквадже (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Хостинский внутригородской район (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Лазаревский внутригородской район (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Солоники (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Вишнёвка (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Магри (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Якорная Щель (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Вардане (far)
2026-02-25 10:59:25,688 [INFO] urbanpulse — Пропуск: Нижняя Беранда (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Нижняя Хобза (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Голубая Дача (tiny)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Адлерский внутригородской район (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Калиновка (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Макопсе (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Шахе (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Нижняя Детляжка (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Тихоновка (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Аше (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Головинка (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Лазаревское (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Адлер (far)
2026-02-25 10:59:25,689 [INFO] urbanpulse — Пропуск: Блиново (far)
2026-02-25 11:09:06,799 [INFO] urbanpulse —   Адм.район пропуск: Советский район (far)
2026-02-25 11:11:47,362 [INFO] urbanpulse —   Адм.район пропуск: Хостинский внутригородской район (far)
2026-02-25 11:11:47,364 [INFO] urbanpulse —   Адм.район пропуск: Лазаревский внутригородской район (far)
2026-02-25 11:11:47,364 [INFO] urbanpulse —   Адм.район пропуск: Адлерский внутригородской район (far)
2026-02-25 11:16:25,639 [INFO] urbanpulse —   Адм.район пропуск: Советский район (far)
2026-02-25 11:25:00,766 [INFO] urbanpulse —   Адм: Первомайский район (far)
2026-02-25 11:25:00,767 [INFO] urbanpulse —   Адм: Советский район (far)
2026-02-25 11:28:59,550 [INFO] urbanpulse —   Адм: Хостинский внутригородской район (far)
2026-02-25 11:28:59,551 [INFO] urbanpulse —   Адм: Лазаревский внутригородской район (far)
2026-02-25 11:28:59,551 [INFO] urbanpulse —   Адм: Адлерский внутригородской район (far)
2026-02-25 11:34:32,550 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10e95dd10>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 11:34:54,561 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10e95e210>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 11:35:18,580 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10e95ed50>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 11:36:22,597 [INFO] urbanpulse —   Адм: Калининский район (far)
2026-02-25 11:36:22,598 [INFO] urbanpulse —   Адм: Советский район (far)
2026-02-25 12:49:31,239 [INFO] urbanpulse — Не город: Советский район (0 зданий, 7.9км)
2026-02-25 12:51:28,270 [INFO] urbanpulse — Не город: Подножье (0 зданий, 8.5км)
2026-02-25 12:58:25,518 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-25 12:58:25,520 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-25 13:00:57,175 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /1.x/?apikey=2aafc56d-05b1-4465-94ce-980731913acd&geocode=131.97436%2C43.1155&format=json&results=5&kind=district
2026-02-25 13:54:05,566 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='query.wikidata.org', port=443): Read timed out. (read timeout=20)")': /sparql?query=SELECT+%3Fitem+%3FitemLabel+%3Fcoord+WHERE+%7B%0A++++++%3Fcity+rdfs%3Alabel+%22%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%8C%22%40ru+.%0A++++++%3Fcity+wdt%3AP31%2Fwdt%3AP279%2A+wd%3AQ515+.%0A++++++%3Fitem+wdt%3AP131%2B+%3Fcity+.%0A++++++%3Fitem+wdt%3AP31%2Fwdt%3AP279%2A+%3Ftype+.%0A++++++VALUES+%3Ftype+%7B+wd%3AQ123705+wd%3AQ2983893+wd%3AQ15715406%0A++++++++++++++++++++++wd%3AQ3957+wd%3AQ12813115+wd%3AQ19953632+wd%3AQ4286337+%7D%0A++++++OPTIONAL+%7B+%3Fitem+wdt%3AP625+%3Fcoord+.+%7D%0A++++++SERVICE+wikibase%3Alabel+%7B+bd%3AserviceParam+wikibase%3Alanguage+%22ru%2Cen%22+.+%7D%0A++++%7D+LIMIT+100&format=json
2026-02-25 13:54:27,859 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='query.wikidata.org', port=443): Read timed out. (read timeout=20)")': /sparql?query=SELECT+%3Fitem+%3FitemLabel+%3Fcoord+WHERE+%7B%0A++++++%3Fcity+rdfs%3Alabel+%22%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%8C%22%40ru+.%0A++++++%3Fcity+wdt%3AP31%2Fwdt%3AP279%2A+wd%3AQ515+.%0A++++++%3Fitem+wdt%3AP131%2B+%3Fcity+.%0A++++++%3Fitem+wdt%3AP31%2Fwdt%3AP279%2A+%3Ftype+.%0A++++++VALUES+%3Ftype+%7B+wd%3AQ123705+wd%3AQ2983893+wd%3AQ15715406%0A++++++++++++++++++++++wd%3AQ3957+wd%3AQ12813115+wd%3AQ19953632+wd%3AQ4286337+%7D%0A++++++OPTIONAL+%7B+%3Fitem+wdt%3AP625+%3Fcoord+.+%7D%0A++++++SERVICE+wikibase%3Alabel+%7B+bd%3AserviceParam+wikibase%3Alanguage+%22ru%2Cen%22+.+%7D%0A++++%7D+LIMIT+100&format=json
2026-02-25 13:59:23,668 [WARNING] urbanpulse — Wikidata error: name 'sparql' is not defined
2026-02-25 14:00:21,701 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='query.wikidata.org', port=443): Read timed out. (read timeout=15)")': /sparql?query=SELECT+%3Fp+WHERE+%7B%3Fc+rdfs%3Alabel+%22%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%8C%22%40ru.%3Fc+wdt%3AP1082+%3Fp.%7DORDER+BY+DESC%28%3Fp%29LIMIT+1&format=json
2026-02-25 14:01:06,081 [WARNING] urbanpulse — Wikidata error: name 'sparql' is not defined
2026-02-25 14:02:08,844 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='query.wikidata.org', port=443): Read timed out. (read timeout=15)")': /sparql?query=SELECT+%3Fp+WHERE+%7B%3Fc+rdfs%3Alabel+%22%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%22%40ru.%3Fc+wdt%3AP1082+%3Fp.%7DORDER+BY+DESC%28%3Fp%29LIMIT+1&format=json
2026-02-25 14:02:48,727 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='maps.mail.ru', port=443): Read timed out. (read timeout=20)")': /osm/tools/overpass/api/interpreter
2026-02-25 14:02:50,752 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NameResolutionError("HTTPSConnection(host='maps.mail.ru', port=443): Failed to resolve 'maps.mail.ru' ([Errno 8] nodename nor servname provided, or not known)")': /osm/tools/overpass/api/interpreter
2026-02-25 14:02:54,928 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NameResolutionError("HTTPSConnection(host='maps.mail.ru', port=443): Failed to resolve 'maps.mail.ru' ([Errno 8] nodename nor servname provided, or not known)")': /osm/tools/overpass/api/interpreter
2026-02-25 14:03:48,727 [WARNING] urbanpulse — Wikidata error: name 'sparql' is not defined
2026-02-25 14:04:39,346 [INFO] urbanpulse — Не город: Змейка (0 зданий, 9.4км)
2026-02-25 14:04:39,888 [INFO] urbanpulse — Не город: Хостинский (0 зданий, 9.1км)
2026-02-25 14:05:46,729 [WARNING] urbanpulse — Wikidata error: name 'sparql' is not defined
2026-02-25 14:06:49,068 [INFO] urbanpulse — Не город: Детская площадка (0 зданий, 7.7км)
2026-02-25 14:08:20,247 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='maps.mail.ru', port=443): Read timed out. (read timeout=20)")': /osm/tools/overpass/api/interpreter
2026-02-25 14:10:59,656 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
